symptoms,label
pelvic pain during menstruation intercourse or bowel movements heavy menstrual bleeding infertility,Endometriosis
cysts weight ovarian hair gain excessive periods growth acne irregular,Polycystic Ovarian Syndrome
growth deficiencies facial abnormalities developmental delays intellectual disability,Fetal Alcohol Syndrome
swollen red tender gums bleeding gums worse in morning,Gum Disease
headache dizziness nausea confusion worse at night,Carbon Monoxide Poisoning
salivary fatigue glands swollen fever usually parotid headache,Mumps
motor cognitive and psychiatric symptoms for a few days,Huntington Disease
painless lump or swelling facial changes,Pleomorphic adenoma
severe pain swelling bruising difficulty straightening or bending the knee deformity noticed after exercise,Fracture of the Patella
swelling difficulty bruising pain walking,Injury to the Leg
pelvic pain painful periods infertility fever present,Endometriosis
moderate headache fever fatigue cough meningitis pneumonia,Cryptococcosis
since this morning high levels of cholesterol in the blood fatty deposits xanthomas on the skin or tendons chest pain or angina heart attacks strokes,Hypercholesterolemia
severe and chronic pain often in the limbs with associated swelling changes in skin color or temperature abnormal sweating limited range of motion since this morning,Complex Regional Pain Syndrome
back the pain extremities range motion of or weakness or in stiffness limited numbness neck,Spondylosis
severe muscle twitches or cramps fatigue weakness loss of appetite nausea vomiting irritability mental confusion irregular heartbeat tingling or numbness personality changes seizures,Magnesium Deficiency
skin membranes painful mucous blisters and on the,Pemphigus
pain difficulty bruising walking swelling,Injury to the Leg
worse at night swollen red tender gums bleeding gums,Gum Disease
severe abdominal pain bloody stools diarrhea nausea vomiting fever rapid heart rate low roue pressure,Ischemia of the Bowel
muscle wasting fatigue weakness delayed wound healing swelling of the limbs hair loss impaired immunity,Protein Deficiency
fever headache body aches rash since this morning,West Nile Virus
moderate chronic constipation abdominal distension failure to pass meconium in newborns,Hirschsprung Disease
varies depending on the underlying cause,Secondary Glaucoma
decreased urine output fluid retention fatigue shortness of breath nausea mental confusion chest pain seizures,Kidney Failure
high fever severe headache joint and muscle pain rash nausea or vomiting bleeding tendencies no fever,Dengue Fever
tremors stiffness slowness of movement worse at night,Parkinson Disease
severe to bear inability weight swelling pain,Dislocation of the Ankle
recurrent disabling migraines noticed after exercise,Chronic Migraine
and stiffness muscle joint fatigue pain pain,Polymyalgia Rheumatica
fatigue weakness bone pain frequent urination kidney stones worse in morning,Parathyroid Adenoma
shortness of breath dry cough fatigue,Pulmonary Fibrosis
developmental delays intellectual disability distinct facial features modest jaw low set ears heart defects,Edward Syndrome
severe eye pain blurred vision halos around lights,Acute Glaucoma
concern vision problems such as blurred vision or loss of peripheral vision hormonal imbalances such as excessive production or deficiency of specific hormones fatigue weight gain or loss menstrual irregularities infertility erectile dysfunction growth abnormalities in children mood changes cognitive impairments,Pituitary Adenoma
joint hurting swelling tenderness limited range of motion,Bursitis
range pain motion of limited swelling shoulder,Fracture of the Shoulder
muscle weakness pain inflammation,Myositis
haunt or constant dribbling of urine inability to completely empty the bladder weak urine stream,Overflow Incontinence
constant tingling numbness and pain in the hand and fingers,Carpal Tunnel Syndrome
severe eye pain headache blurred vision halos around lights sickness and vomiting,Angle-Closure Glaucoma
vision loss or blurry vision eye pain with eye movement color visual sensation impairment flashing lights or floaters,Optic Neuritis
for a few days toothache tooth sensitivity visible pits or holes in the teeth dark spots on the teeth bad breath,Dental Caries
inflammation of blood vessels leading to various symptoms depending on the affected organs including rash fever fatigue muscle and joint pain shortness of breath weight loss intermittent,Vasculitis
mild unintentional urine leakage during physical activity,Stress Incontinence
fatigue nausea excessive thirst kidney stones mild,Hypercalcemia
toothache tooth sensitivity visible pits or holes in the tooth dark spots on the teeth bad breath,Dental Caries
high levels of cholesterol in the blood fatty deposits xanthomas on the skin or tendons chest pain or angina heart attacks strokes fever present,Hypercholesterolemia
as sensation skin skin or burning groin or folds inflamed or such raw in itching red armpits,Intertrigo
like cognitive dementia or disturbances urinary incontinence decline gait symptoms,Normal Pressure Hydrocephalus
shortness of breath wheezing inveterate cough chest tightness fatigue weight loss,Emphysema
heart delays at vision intellectual hearing defects or problems enlargement developmental disability birth liver loss spleen rash,Congenital rubella
abdominal pain tenderness bruising swelling difficulty breathing nausea cast changes in bowel movements blood in urine or stool,Abdominal Injury
chest pain shortness of breath palpitations,Panic Attack
yellowing skin eyes pale of dark the stools and urine,Neonatal Jaundice
severe sore throat difficulty swallowing fever swollen tonsils voice changes neck pain or stiffness,Peritonsillar Abscess
for a few days growth deficiencies facial abnormalities developmental delays intellectual disability,Fetal Alcohol Syndrome
fatigue pale skin frequent infections easy leech or bruising,Leukemia
high fever body aches fatigue cough sore throat congestion,Influenza (Flu)
intermittent blurred or distorted central vision blind spots,Macular Degeneration
eye severe and headache around halos vision vomiting blurred lights nausea pain,Angle-Closure Glaucoma
and after prolonged work or surgery bleeding bleeding in joints bleeding or spontaneous wounds dental muscles excessive or bruising from,Hemophilia
mood swings bloating breast tenderness choler,Premenstrual Tension Syndrome
inflammation of the glans penis tip of the penis redness swelling pain for a few days,Balanitis
worse at night sore throat difficulty swallowing swollen lymph nodes,Pharyngitis
joint pain swelling tenderness limited range of motion mild,Bursitis
severe bone pain fractures fatigue unexplained weight loss,Bone Cancer
the of severe fluid in urine damage and swelling ankles kidney legs decreased signs and overload output,Ethylene glycol poisoning-3
palpitations sweat trembling shortness of breath fear of losing control dizziness,Panic disorder
nausea vomiting drowsiness dizziness confusion seizures changes in heart rate low blood pressure respiratory distress intermittent,Poisoning due to Antidepressants
nausea vomiting drowsiness dizziness confusion seizures changes in heart rate low blood pressure respiratory distress,Poisoning due to Antidepressants
fatigue or weight count in shortness wheezing the night cough sweats of eosinophil elevated pain breath loss fever sputum chest blood,Pulmonary Eosinophilia
floaters spots or cobweb like shapes in vision flashes of light curtain like shadow over vision sudden vision loss,Retinal Detachment
stiffness slowness tremors of movement,Parkinson Disease
swollen blood line vessels in the esophagus vomiting blood black tarry stools,Esophageal Varices
for a few days painless fluid filled swelling in the oral cavity,Mucocele
face calcium low muscle levels short hypocalcemia rounded tetany stature spasms,Pseudohypoparathyroidism
urine seizures fluid fatigue shortness retention pain decreased nausea output confusion breath of chest,Kidney Failure
for a few days ear pain hearing loss recurrent ear infections,Chronic Otitis Media
increased appetite relaxation altered perception of time impaired memory and concentration bloodshot eyes anxiety or paranoia in some individuals withdrawal symptoms such as irritability insomnia when attempting to stop or reduce cannabis use continued use despite negative consequences such as relationship problems job difficulties,Cannabis Use Disorder
fatigue weakness pale skin shortness of breath jaundice,Hemolytic Anemia
hurt radiating from the lower back to the leg,Sciatica
fever headache body aches heady,West Nile Virus
fatigue nausea excessive thirst kidney stones improved with rest,Hypercalcemia
or with irritants itchy contact by rash allergens caused red,Contact Dermatitis
redness swelling warmth pain or tenderness at the wound site pus or drainage from the wound fever malaise,Infection of Open Wound
breath shortness of palpitations fatigue heart,Mitral Valve Disease
vaginal bleeding cramping abdominal pain nausea fatigue emotional distress constant,Induced Abortion
severe and chronic pain often in the limbs with associated swelling changes in skin color or temperature abnormal sweating limited range of motion intermittent,Complex Regional Pain Syndrome
fatigue dizziness fainting chest pain or discomfort shortness of breath irregular heart rhythms constant,Heart Block
swollen itchy or painful veins in the rectal area no fever,Hemorrhoids
abdominal pain often in the upper right quadrant jaundice dark urine pale crapper nausea vomiting endoscopic retrograde cholangiopancreatography ercp with stone removal sphincterotomy cholecystectomy,Choledocholithiasis
toothache tooth sensitivity visible pits or holes in the teeth dark discern on the teeth bad breath,Dental Caries
fainting breath chest or fatigue rhythms shortness irregular pain dizziness heart of discomfort,Heart Block
red swollen itchy happen,Insect Bites
irregular or rapid heartbeat palpitations shortness of breath chest pain or discomfort dizziness or lightheadedness fatigue no fever,Atrial Fibrillation
short stature gonadal dysgenesis webbed neck lymphedema,Turner syndrome
gradual loss of vision visual field defects,Low-Tension Glaucoma
gradual hearing loss difficulty see high pitched sounds speech sounds muffled or unclear,Presbycusis
blurred or distorted central vision blind floater,Macular Degeneration
changes appetite and least low years at of two mood for lasting lack persistent depressive symptoms in interest sleep,Dysthymic Disorder
swollen weight nodes lymph fatigue loss unexplained,Lymphoma
abdominal pain jaundice yellowing of the skin and eyes unexplained weight loss loss of appetite fatigue nausea vomiting,Liver Cancer
moderate high blood pressure proteinuria swelling headaches visual disturbances,Preeclampsia
watery discharge itching swollen redness eyelids,Conjunctivitis due to Allergy
abnormal positioning of the urethral opening on the underside of the penis penial curvature spraying of urine difficulty in urination,Hypospadias
for a few days yellowish or white growth on the conjunctiva eye s surface usually near the cornea,Pinguecula
high blood pressure without proteinuria preeclampsia noticed after exercise,Gestational Hypertension
headaches nausea seizures changes in coordination or balance mild,Ependymoma
as risks benzodiazepine to symptoms or anxiety as use use reduce such consequences relationship sedation despite negative continued memory poor health such drowsiness problems tremors stop reduced anxiety rebound attempting withdrawal impairment insomnia coordination when relaxation,Benzodiazepine Use Disorder
sudden intense urge to urinate followed by nonvoluntary urine leakage,Urge Incontinence
as to use negative opioid for legal strong as muscle anxiety use opioids nausea problems when or compulsive to use continued health such control opioids reduce to use desire cravings symptoms consequences of aches inability despite reduce stop such opioids attempting or tolerance withdrawal or issues,Opioid Use Disorder
short stature gonadal dysgenesis webbed cervix lymphedema,Turner syndrome
abdominal botheration nausea vomiting bloating constipation bloody stool,Volvulus
gradual loss of vision visual field defects,Low-Tension Glaucoma
high blood pressure without proteinuria pre eclampsia,Gestational Hypertension
difficulty swallowing unintentional weight loss chest pain hoarseness severe,Esophageal Cancer
intermittent redness itching watery discharge swollen eyelids,Conjunctivitis due to Allergy
excessive body weight increased chance of chronic conditions,Obesity
difficulty breathing rapid breathing chest pain,Atelectasis
mild sharp or aching pain in the lower abdomen or groin,Round Ligament Pain
mild to moderate head pain tightness or pressure sensation on both sides of head constant,Tension Headache
sudden and severe abdominal or pelvic pain on one side sharp or stabbing pain nausea vomiting fever speedy heartbeat abdominal tenderness bloating swelling pain during intercourse abnormal bleeding or spotting,Ovarian Torsion
night blindness dry eyes dry or rough skin poor wound remedial weakened immune system,Vitamin A Deficiency
and two sleep least interest lack years symptoms low in of for changes mood appetite persistent lasting depressive at,Dysthymic Disorder
chronic impairment abdominal distension failure to pass meconium in newborns,Hirschsprung Disease
headache nausea vomiting cognitive or developmental problems enlarged head in infants,Hydrocephalus
coughing with phlegm or pus chest pain fever shortness of breath fatigue,Abscess of the Lung
excessive worrying restlessness increased heart rate panic attacks noticed after exercise,Anxiety
itchy red rash caused by contact with irritants or allergens moderate,Contact Dermatitis
eye of control loss the with of movement transverse paralysis neuritis vision bowel weakness bladder or numbness optic limbs or myelitis pain loss,Neuromyelitis Optica
sedation relaxation reduced anxiety drowsiness poor coordination memory impairment withdrawal symptoms such as rebound anxiety insomnia tremors when try to stop or reduce use continued use despite negative consequences such as relationship problems health risks,"Sedative, Hypnotic, or Anxiolytic Use Disorder"
numbness swelling lump tingling facial,Adenoid cystic carcinoma
nausea vomiting abdominal pain liver or kidney damage dizziness confusion respiratory distress improved with rest,Poisoning due to Analgesics
vision loss or blurry vision eye pain with eye movement color vision impairment flashing lights or floaters started after cold,Optic Neuritis
sudden onset of neurological symptoms that resolve within 24 hours,Transient ischemic attack
worse during exertion painless lump or swelling facial changes,Warthin tumor
decreased urine output fluid retention fatigue shortness of breath nausea confusion chest pain seizures improved with rest,Kidney Failure
back tingling or pain numbness pain lower leg,Sciatica
moderate rash itching swelling fever respiratory symptoms,Drug Reaction
since this morning shortness of breath cough wheezing fatigue chest discomfort or tightness,Pulmonary Congestion
mild pain swelling bruising deformity restricted range of motion difficulty gripping or using the finger,Injury to the Finger
elevated flush of gamma globulins in the blood may be asymptomatic or associated with other underlying conditions,Hypergammaglobulinemia
for a few days lower abdominal pain and discomfort occurring around the time of ovulation,Mittelschmerz
pain or tenderness on the outer side of the elbow weak grip military capability difficulty with forearm movements,Lateral Epicondylitis (Tennis Elbow)
pain swelling redness discharge from the nose,Abscess of Nose
blurred or distorted central sight blind spots,Macular Degeneration
confusion forgetfulness personality changes tremors no fever,Hepatic Encephalopathy
excessive sweating beyond what is necessary for temperature regulation typically in specific areas such as palms soles underarms may interfere with daily activities worse in morning,Hyperhidrosis
fatigue weakness shortness of breath pale struggle,Anemia due to Malignancy
vaginal bleeding abdominal cramps pelvic pain,Threatened Pregnancy
facial impuissance or paralysis drooping of the mouth or eyelid,Bell Palsy
tumesce lymph nodes fever fatigue headache rash,Cat Scratch Disease
turning severe tenderness or neck the or weakness pain numbness swelling difficulty moving in the legs arms or head,Fracture of the Neck
abdominal pain high blood pressure kidney cysts mild,Polycystic Kidney Disease
inattention hyperactivity impulsivity noticed after exercise,Attention Deficit Hyperactivity Disorder (ADHD)
symptoms that do not meet the full criteria for a specific eating disorder started after cold,Other Specified Feeding or Eating Disorder (OSFED)
red raw or inflamed skin in skin folds such as armpits or groin scratch or burning sensation,Intertrigo
ankles in the and urine signs fluid legs kidney of overload and damage swelling decreased output severe,Ethylene glycol poisoning-3
cramping nausea vaginal distress pain fatigue bleeding emotional abdominal,Induced Abortion
sudden intense urge to urinate stick to by involuntary urine leakage,Urge Incontinence
bone bother fractures fatigue unexplained weight loss,Bone Cancer
dizziness low blood pressure slow heart rate sickness vomiting,Antihypertensives Poisoning
varies depending on the underlying lawsuit,Secondary Glaucoma
vomiting jaundice abdomen swollen and nausea pain fever abdominal tender severe rapid pulse upper,Acute Pancreatitis
fluid retention urine output decreased fatigue,Acute Kidney Injury
high blood pressure without proteinuria preeclampsia since this morning,Gestational Hypertension
gradual loss of peripheral vision tunnel vision started after cold,Open-Angle Glaucoma
chest pain or discomfort angina shortness of breath fatigue irregular heartbeat dizziness nausea sweating jaw or arm pain in some cases heart attack when a coronary artery becomes completely blocked,Coronary Atherosclerosis
worse at night decreased urine output fluid retention fatigue,Acute Kidney Injury
intense sudden leakage followed involuntary by urge to urine urinate,Urge Incontinence
swelling the bruising pain difficulty of or motion range using deformity finger gripping restricted,Injury to the Finger
excessively concentrated urine low blood sodium levels,Syndrome of Inappropriate Secretion of ADH (SIADH)
vaginal dryness vaginal burning frequent urination urinary tract infections painful intercourse severe,Atrophic vaginitis
nausea pain vomiting abdominal jaundice fatigue,Hepatitis due to a Toxin
joint pain fatigue skin rash,Lupus
discomfort loss pain lights vision halos vision peripheral eye or gradual around impairment,Chronic Glaucoma
unintentional urine leakage during physical activity,Stress Incontinence
headaches vision problems such as blurred vision or loss of peripheral vision hormonal imbalances such as excessive production or want of specific hormones fatigue weight gain or loss menstrual irregularities infertility erectile dysfunction growth abnormalities in children mood changes cognitive impairments,Pituitary Adenoma
sudden numbness or weakness of the face arm or leg typically on one side of the body confusion trouble speaking or understanding severe headache worse in morning,Stroke
hair loss or balding patchy or generalized hair loss,Alopecia
fatigue weight gain constipation dry skin depression muscle aches and stiffness sensitivity to cold worse in morning,Hashimoto Thyroiditis
heel pain tenderness difficultness walking,Plantar Fasciitis
excessive hair growth in women moderate,Hirsutism
since this morning high blood pressure without proteinuria preeclampsia,Gestational Hypertension
sedation relaxation reduced anxiety drowsiness poor coordination memory impairment withdrawal symptoms such as rebound anxiety insomnia tremors when attempting to stop or reduce use continued use despite negative consequences such as relationship problems health risks intermittent,"Sedative, Hypnotic, or Anxiolytic Use Disorder"
vaginal bleeding cramping abdominal pain sickness fatigue emotional distress,Induced Abortion
worse at night painful blisters on the skin and mucous membranes,Pemphigus
red raw or inflamed skin in skin folds such as armpits or groin itching or burning sensation,Intertrigo
nausea vomiting abdominal pain general malaise weakness increased thirst frequent urination started after cold,Ethylene glycol poisoning-1
joint pain sensation stiffness swelling fatigue loss of appetite,Rheumatoid Arthritis
hunger persistent peristalsis dehydration visible fussiness weight palpable loss mass,Pyloric stenosis
recurrent episodes of binge corrode without compensatory behaviors,Binge Eating Disorder
fatigue abdominal pain or swelling jaundice neurological symptoms tremors difficulty speaking or walking constant,Wilson Disease
facial pain or pressure pinched congestion thick nasal discharge postnasal drip cough fatigue,Chronic Sinusitis
blurred or distorted vision floaters impaired color vision dark or empty areas in the visual field vision loss,Diabetic retinopathy
redness warmth swelling and tenderness along a vein pain or discomfort skin discoloration visible veins febrility,Thrombophlebitis
fatigue weakness sick skin,Anemia due to Chronic Kidney Disease
severe pain swelling deformity bruising difficulty moving or using the affected area,Crushing Injury
halos nausea blurred vision around eye and severe pain headache vomiting lights,Angle-Closure Glaucoma
nausea vomiting early satiety bloating abdominal pain poor appetite,Gastroparesis
fatigue weight gain constipation dry skin depression muscle aches and stiffness sensitiveness to cold,Hashimoto Thyroiditis
proteinuria blood high headaches swelling visual pressure disturbances,Preeclampsia
muscle stiffness tremors involuntary crusade,Extrapyramidal Effect of Drugs
persistent pain or discomfort in the vulva burning stinging rawness itching,Vulvodynia
vertigo dizziness nausea hear loss ear pain,Labyrinthitis
easy contuse prolonged bleeding from cuts petechiae red or purple spots on the skin nosebleeds excessive menstrual bleeding,Thrombocytopenia
decreased urine output swelling in the legs and ankles and signs of fluid overload severe kidney damage worse during exertion,Ethylene glycol poisoning-3
rash itching swelling fever respiratory symptoms mild,Drug Reaction
vaginal dryness vaginal burning frequent urination urinary tract infections painful intercourse,Atrophic vaginitis
abdominal pain bleeding electric organ dysfunction,Injury to Internal Organ
excessive hair growth in women noticed after exercise,Hirsutism
excessive body weight increased risk of chronic conditions improved with rest,Obesity
cholesterol to weight depression skin elevated constipation weakness cold gain sensitivity dry muscle fatigue levels,Hypothyroidism
skipped or redundant heartbeats palpitations lightheadedness,Premature Ventricular Contractions (PVCs)
for a few days primary stage painless sores chancre at the site of infection secondary stage skin rash fever swollen lymph nodes sore throat latent stage no symptoms tertiary stage severe complications affecting the heart brain and other organs,Syphilis
recurrent episodes of wheezing shortness of breath chest tightness coughing especially at night or in response to triggers such as allergens or exercise since this morning,Asthma
itching and irritation in the vagina and vulva redness and swelling of the vulva white thick clumpy vaginal discharge resembling cottage cheese burning sensation during urination pain during sexual intercourse rash or soreness in the affected area,Vaginal Yeast Infection
cough shortness of breath wheezing chest pain fever night sweats fatigue weight loss elevated eosinophil count in the blood or sputum noticed after exercise,Pulmonary Eosinophilia
fatigue shortness of breath heart vibration,Mitral Valve Disease
blurred distance vision eyestrain squinting constant,Myopia
toothache tooth sensibility visible pits or holes in the teeth dark spots on the teeth bad breath,Dental Caries
strain or cornea blurred distorted uneven of headaches eye curvature vision,Astigmatism
excessive hair growth in women worse during exertion,Hirsutism
throat lymph swallowing difficulty swollen sore nodes,Pharyngitis
rash itching redness peeling skin no medication taken,Fungal Infection of the Skin
since this morning chest pain shortness of breath palpitations,Panic Attack
hoarseness vocal interchange vocal fatigue,Vocal cord polyp
pain discomfort lightheadedness heart legs or or or breath of ankles fatigue shortness chest fainting palpitations swollen,Pulmonic Valve Disease
sexual prolonged period periods bleeding intercourse light bleeding of unpredictable after or outside after heavy menopause between abnormal menstrual episodes bleeding bleeding bleeding spotting or vaginal bleeding the,Idiopathic Nonmenstrual Bleeding
uncomfortable sensation in the stage usually in the evening or at night urge to move legs for relief,Restless Leg Syndrome
extreme jade cognitive difficulties unrefreshing sleep,Chronic Fatigue Syndrome
neck or back pain stiffness limited range of motion numbness or weakness in the extremities,Spondylosis
swollen red tender gums bleeding gingiva,Gum Disease
varies depending on the rudimentary cause,Secondary Glaucoma
visual of defects gradual loss vision field,Low-Tension Glaucoma
shortness wheezing of fatigue cough chest tightness discomfort breath or,Pulmonary Congestion
pyrosis acid reflux chest pain,Gastroesophageal Reflux Disease (GERD)
headaches nausea seizures changes in coordination or balance started after cold,Ependymoma
blurred or distorted vision floaters impaired color vision dark or empty areas in the visual field vision exit,Diabetic retinopathy
mouth painless on floor swelling lower or lip of the usually the,Mucocele
tingling apathy and pain in the hand and fingers,Carpal Tunnel Syndrome
reduced discover sensitivity muffled or blocked sound,Conductive Hearing Loss
sudden brief muscle contractions or jerks often affecting the arms legs or face no fever,Myoclonus
heavy or prolonged menstrual periods pelvic pain or pressure frequent urination difficulty emptying the bladder constipation backache leg pain enlarged abdomen or uterus infertility or recurrent miscarriages in some cases for a few days,Uterine Fibroids
squinting blurred vision distance eyestrain,Myopia
growth on the conjunctiva white break up of the eye,Pterygium
cornea vision blurred curvature distorted of strain headaches eye uneven or,Astigmatism
decreased urine output fluid retention fatigue shortness of breath nausea confusion chest pain seizures,Kidney Failure
persistent consumption of non food marrow,Pica
painless lump or swelling facial changes,Warthin tumor
worse during exertion frequent urination increased thirst weight loss,Type 1 Diabetes
pain swelling bruising difficulty walking,Injury to the Leg
dementia incontinence gait disturbances decline cognitive urinary symptoms like or,Normal Pressure Hydrocephalus
lump or swelling in the orchis pain or discomfort changes in testicular size or shape,Testicular Cancer
nausea vomiting drowsiness dizziness confusion seizures changes in heart rate low blood pressure respiratory distress,Poisoning due to Antidepressants
intermittent anxiety restlessness irritability tremors sweating nausea vomiting insomnia drug cravings,Drug Withdrawal
weary increased hunger slow healing of wounds,Type 2 Diabetes
lack of menstrual full point,Idiopathic Absence of Menstruation
over pain tenderness or ribcage difficulty chest swelling the breathing,Fracture of the Rib
bleeding easy skin pale infections frequent bruising fatigue or,Leukemia
swelling difficulty walking pain bruising,Injury to the Leg
constant sudden numbness or weakness of the face arm or leg typically on one side of the body confusion trouble speaking or understanding severe headache,Stroke
redness itching rash blistering worse at night,Dermatitis due to Sun Exposure
dizziness low blood pressure slow heart rate nausea vomiting improved with rest,Antihypertensives Poisoning
surgical site pain discomfort swelling,Pain after an Operation
dementia decline symptoms incontinence cognitive or urinary disturbances like gait,Normal Pressure Hydrocephalus
severe hair loss or balding patchy or generalized hair loss,Alopecia
caused or irritants contact allergens red by itchy rash with,Contact Dermatitis
spots vision floaters sudden vision shapes like shadow like or cobweb over of loss flashes light in curtain vision,Retinal Detachment
compulsive use of opioids strong desire or cravings for opioids inability to control or reduce opioid use withdrawal symptoms such as nausea muscle aches anxiety when attempting to stop or trim down use tolerance to opioids continued use despite negative consequences such as legal issues health problems,Opioid Use Disorder
curvature of the penis pain during erections noticed after exercise,Peyronie Disease
pain or discomfort in the tailbone area swelling redness drainage of pus or blood abscess organization,Pilonidal Cyst
muscle stiffness tremors involuntary movements mild,Extrapyramidal Effect of Drugs
cough with phlegm or pus chest pain fever shortness of breath fatigue worse at night,Abscess of the Lung
anxiety restlessness temper tremors sweating nausea vomiting insomnia drug cravings,Drug Withdrawal
muscle face affecting often brief the sudden or or contractions jerks arms legs,Myoclonus
lump swelling difficulty pain when swallowing and speaking nervus facialis weakness facial paralysis,Mucoepidermoid carcinoma
difficulty or poor urinary stream urinary tract infections urinary frequency or urgency abdominal muscle distension poor weight gain,Urethral Valves
the or sore of throat fever mouth appetite loss blisters swallowing sores painful in and difficulty throat,Herpangina
fever chills back or wing pain frequent urination,Pyelonephritis
dizziness low blood pressure slow heart rate nausea vomiting worse during exertion,Antihypertensives Poisoning
excessive worrying restlessness increased heart rate panic attacks,Anxiety
chest pain sharp and stabbing worsens with deep breaths or lying down fever for a few days,Pericarditis
painless fluid filled swelling in the oral cavity,Mucocele
floaters spots or cobweb like shapes in vision flashes of light curtain like shadow over vision sudden vision loss severe,Retinal Detachment
intense itching visible lice or nits in the affected area improved with rest,Parasitic Infections
frequent urinary tract infections urinary urgency or frequency bedwetting in fry high blood pressure in severe cases,Vesicoureteral Reflux
severe floaters spots or cobweb like shapes in vision flashes of light curtain like shadow over vision sudden vision loss,Retinal Detachment
moderate challenges with social interaction communication difficulties restricted interests or repetitive behaviors,Autism
joint trouble stiffness swelling,Osteoarthritis
transverse weakness pain numbness myelitis optic limbs of paralysis eye with the loss loss vision or bowel of movement or control bladder neuritis,Neuromyelitis Optica
headaches high pressure disturbances swelling proteinuria blood visual,Preeclampsia
confusion of ascites weight swelling jaundice easy fatigue and loss appetite bleeding bruising loss abdominal,Cirrhosis
tinnitus ear fullness vertigo loss hearing,Meniere Disease
thickening of the skin raynaud s phenomenon,Scleroderma
muscle pain and stiffness joint pain fatigue,Polymyalgia Rheumatica
throbbing headache,Headache after lumbar puncture
swelling pain dry mouth bad taste noticed after exercise,Parotid stones
redness pain tenderness swelling skin changes lymph node enlargement no fever,Cellulitis
excessive sudden daytime cataplexy muscle tone loss sleepiness of,Narcolepsy
hypocalcemia low calcium levels tetany muscle spasms short height rounded face,Pseudohypoparathyroidism
compulsive use of opioids strong desire or cravings for opioids inability to control or reduce opioid use withdrawal symptoms such as nausea muscle aches anxiousness when attempting to stop or reduce use tolerance to opioids continued use despite negative consequences such as legal issues health problems,Opioid Use Disorder
up on seeing focusing near when close objects difficulty blurred objects vision,Hyperopia
painful micturition abnormal discharge from the genitals pelvic pain,Gonorrhea
uncomfortable sensation in the legs usually in the evening or at night urge to move legs for relief worse in morning,Restless Leg Syndrome
loss fatigue bone unexplained fractures weight pain,Bone Cancer
eye redness severe eye pain blurred vision moderate,Scleritis
fatigue weight changes mode swings dry skin,Thyroid Disease
altered perception of reality visual or auditory hallucinations changes in sensory experiences introspective thoughts feelings of connection or disconnection anxiety or paranoia in some person flashbacks in some individuals,Hallucinogen Use Disorder
with by allergens or red contact irritants itchy rash caused,Contact Dermatitis
in headaches changes seizures nausea or coordination balance,Ependymoma
persistent feelings of sadness emptiness or hopelessness frequent crying irritability loss of interest or pleasure in activities difficulty bonding with the baby changes in appetite or sleep patterns overwhelming fatigue feelings of guilt or worthlessness trouble concentrating or making decisions thoughts of self harm or harming the baby worse at night,Postpartum Depression
mild to moderate head pain tightness or pressure sensation on both sides of head improved with rest,Tension Headache
worse at night rough scaly patches on the skin usually in sun exposed areas,Actinic Keratosis
fragile bones loss of height over time back pain fractures,Osteoporosis
swollen lymph nodes unexplained weight loss pall,Lymphoma
joint pain stiffness swelling fatigue loss of appetite,Rheumatoid Arthritis
yellowing of the skin and eyes pale stools dark urine,Neonatal Jaundice
hypocalcemia low calcium levels tetany muscle spasms short height rounded face,Pseudohypoparathyroidism
abdominal or flank pain blood in urine shop at urination,Benign Kidney Cyst
challenges with social interaction communication difficulties restricted interests or repetitive behaviors,Autism
vision disability defects rash birth loss at spleen liver delays or heart enlargement hearing developmental problems intellectual,Congenital rubella
bone pain fractures fatigue unexplained weight loss intermittent,Bone Cancer
constant severe upper abdominal pain nausea vomiting fever rapid pulse swollen and tender abdomen jaundice,Acute Pancreatitis
in on sun exposed the scaly usually skin areas patches rough,Actinic Keratosis
worse at night pain radiating from the lower back to the leg,Sciatica
upper removal endoscopic cholecystectomy often ercp stools sphincterotomy pain pale the cholangiopancreatography quadrant stone urine with in right vomiting jaundice dark abdominal retrograde nausea,Choledocholithiasis
cough shortness of breath wheezing chest pain fever night sweats fatigue weight loss elevated eosinophil count in the blood or sputum for a few days,Pulmonary Eosinophilia
fever chest pain productive cough with foul smelling or bloody sputum,Empyema
shop at urination urgency pelvic pain,Bladder Disorder
loss ear pain recurrent ear hearing infections,Chronic Otitis Media
swelling pain redness fever pus formation intermittent,Abscess
joint pain stiffness swelling reduced range of motion severe,Osteochondrosis
redness eyelids swollen watery itching discharge,Conjunctivitis due to Allergy
pyrosis chest pain difficulty swallowing,Hiatal Hernia
painless fluid filled swelling in the oral cavity for a few days,Mucocele
for a few days inflammation of blood vessels leading to various symptoms depending on the affected organs including rash fever fatigue muscle and joint pain shortness of breath weight loss,Vasculitis
persistent sore throat difficulty swallowing voice changes ear pain neck mass weight loss,Head and Neck Cancer
pain swelling bruising deformity restricted range of motion difficulty gripping or habituate the finger,Injury to the Finger
knee pain swelling inability to straighten the leg,Dislocation of the Patella
pain or tenderness on the outer side of the elbow weak grip strength difficulty with forearm movements,Lateral Epicondylitis (Tennis Elbow)
night blindness dry eyes dry or rough skin poor wound healing attenuate immune system,Vitamin A Deficiency
rough scaly patches on the skin usually in sun exposed areas fever present,Actinic Keratosis
constant excessive sweating beyond what is necessary for temperature regulation typically in specific areas such as palms soles underarms may interfere with daily activities,Hyperhidrosis
